id,x,y
0,391,180
1,498,372
2,463,489
3,86,145
4,431,195
5,340,204
6,310,128
7,490,58
8,208,76
9,500,376
10,248,68
11,171,170
12,302,93
13,384,398
14,47,25
15,117,114
16,476,449
17,491,11
18,239,227
19,151,478
20,60,202
21,382,361
22,232,239
23,77,245
24,398,204
25,247,289
26,495,319
27,332,241
28,12,71
29,143,75
30,461,108
31,323,207
32,322,334
33,494,338
34,309,169
35,269,211
36,237,373
37,373,454
38,15,33
39,112,88
40,66,430
41,484,470
42,251,163
43,17,292
44,377,296
45,291,21
46,40,96
47,401,47
48,181,475
49,244,128
50,348,73
51,346,89
52,275,403
53,182,31
54,183,432
55,203,84
56,334,131
57,194,369
58,325,39
59,129,120
60,138,422
61,106,417
62,378,90
63,263,38
64,480,423
65,498,150
66,341,343
67,286,480
68,253,379
69,378,311
70,496,308
71,394,120
72,222,23
73,97,489
74,299,411
75,42,121
76,151,399
77,233,177
78,327,481
79,54,160
80,44,13
81,158,16
82,230,290
83,395,356
84,421,332
85,204,204
86,135,131
87,44,292
88,410,71
89,215,100
90,10,437
91,115,396
92,199,255
93,294,437
94,372,110
95,291,302
96,195,189
97,7,350
98,133,197
99,329,269
100,400,186
101,78,163
102,129,31
103,204,2
104,200,124
105,291,470
106,361,293
107,203,88
108,417,440
109,166,257
110,388,460
111,21,154
112,174,387
113,227,401
114,111,498
115,11,283
116,189,42
117,389,298
118,299,278
119,130,385
