id,x,y
0,323,398
1,213,330
2,129,55
3,261,132
4,154,378
5,78,454
6,406,150
7,365,226
8,458,377
9,217,75
10,150,152
11,235,243
12,166,377
13,163,396
14,31,95
15,21,35
16,160,64
17,383,158
18,377,335
19,103,265
20,10,85
21,457,335
22,410,366
23,238,54
24,360,441
25,451,113
26,101,318
27,458,447
28,379,360
29,469,265
30,66,118
31,222,83
32,65,171
33,137,220
34,5,160
35,441,262
36,63,227
37,461,441
38,110,308
39,382,101
40,106,73
41,235,302
42,164,13
43,376,443
44,398,68
45,77,268
46,186,493
47,23,23
48,79,339
49,146,414
50,435,315
51,178,49
52,54,435
53,451,434
54,206,205
55,359,255
56,23,481
57,454,147
58,216,107
59,431,261
60,446,307
61,411,387
62,153,306
63,403,130
64,376,258
65,469,368
66,165,45
67,362,144
68,266,494
69,54,206
70,474,257
71,79,80
72,326,349
73,422,263
74,25,130
75,252,312
76,13,121
77,476,93
78,481,241
79,97,376
80,254,155
81,323,278
82,140,12
83,53,58
84,276,356
85,478,304
86,485,499
87,35,194
88,30,347
89,59,334
90,333,159
91,222,282
92,134,320
93,21,256
94,165,292
95,323,98
96,214,363
97,134,60
98,37,74
99,159,35
100,95,496
101,327,318
102,31,369
103,162,344
104,68,438
105,116,14
106,315,97
107,170,190
108,434,318
109,495,153
110,266,255
111,402,479
112,129,270
113,158,216
114,474,175
115,125,177
116,135,343
117,62,244
118,147,33
119,433,260
120,249,70
121,396,422
122,167,48
123,10,423
124,287,401
125,319,92
126,497,402
127,361,352
128,37,106
129,451,37
130,365,263
131,248,53
132,124,135
133,412,304
134,332,109
135,149,478
136,42,201
137,360,283
138,334,72
139,359,346
140,387,327
141,294,266
142,459,462
143,85,43
144,455,65
145,146,452
146,333,212
147,15,74
148,29,176
149,235,322
150,91,210
151,32,327
152,474,1
153,126,290
154,297,238
155,200,154
156,12,271
157,198,416
158,6,400
159,267,410
160,101,235
161,338,417
162,216,483
163,454,340
164,11,28
165,433,273
166,233,91
167,101,470
168,66,122
169,242,197
170,124,303
171,19,282
172,424,239
173,401,183
174,15,124
175,408,71
176,275,105
177,296,169
178,209,288
179,127,146
180,477,30
181,36,86
182,229,199
183,131,74
184,477,262
185,231,305
186,478,142
187,247,478
188,157,11
189,419,56
