source,target,weight
94,117,8
121,21,15
141,43,13
3,101,12
145,8,14
147,97,2
25,45,18
34,141,15
70,133,5
158,147,13
157,16,16
105,58,18
95,136,4
148,132,5
94,78,20
9,167,13
141,105,3
100,22,13
74,109,2
100,144,2
44,46,5
100,42,15
148,90,3
114,119,1
107,74,15
4,137,17
125,173,20
34,4,2
105,81,17
113,99,7
46,44,14
128,40,1
55,136,15
51,134,19
42,106,2
144,120,3
30,138,14
105,23,14
126,126,6
124,38,13
13,74,15
99,109,11
129,56,18
142,158,2
164,174,6
62,178,1
142,109,8
111,139,19
77,60,14
72,75,7
97,158,4
59,178,11
154,58,12
64,62,15
24,20,5
162,134,18
74,167,19
5,14,2
1,169,13
31,68,2
41,38,20
66,103,13
150,13,17
1,101,15
161,23,18
159,33,3
171,160,5
169,137,9
102,19,15
124,136,13
101,42,10
34,17,20
45,50,11
25,96,16
142,11,7
89,69,19
31,35,15
105,117,14
25,24,16
102,152,17
70,124,15
31,177,8
165,172,3
163,58,5
5,175,4
55,100,6
133,97,13
3,40,15
60,3,17
85,105,15
126,75,19
51,87,8
81,54,19
165,125,7
116,139,18
36,103,15
1,121,8
18,161,20
116,132,10
81,157,4
175,99,3
111,171,6
21,77,13
107,20,10
23,114,3
75,26,4
57,51,2
115,12,16
117,128,19
135,7,11
109,105,9
134,107,6
19,66,19
49,126,9
177,149,6
69,46,2
27,175,2
154,39,3
81,75,19
102,46,7
152,26,6
155,81,9
2,46,9
170,106,1
151,55,3
76,17,4
91,89,9
19,95,15
56,132,7
152,165,9
102,160,19
152,133,18
52,157,16
89,111,14
167,21,19
154,150,5
129,64,2
30,113,11
122,70,19
108,164,7
70,50,15
56,76,16
169,171,4
12,167,13
145,55,3
84,95,7
6,64,5
128,3,2
22,51,18
8,12,7
108,173,11
8,121,13
147,149,7
57,96,10
60,13,13
144,120,7
124,132,5
8,145,10
157,82,8
127,173,1
80,121,9
94,22,14
40,163,13
72,171,2
112,145,5
31,28,8
52,75,4
51,83,2
44,27,3
87,144,19
171,55,11
166,87,12
95,64,3
113,99,9
129,165,6
127,99,3
174,71,17
16,93,4
144,35,2
145,142,12
7,41,5
107,155,1
142,175,7
121,32,1
32,129,2
13,42,20
145,87,4
130,64,3
137,22,4
83,135,13
120,46,8
137,54,7
87,29,5
96,68,5
121,29,1
172,32,10
163,150,6
42,128,8
6,83,13
25,15,7
151,62,18
101,23,13
84,178,14
72,35,19
23,3,15
132,89,9
25,137,17
97,21,4
161,25,18
161,154,4
33,0,9
62,137,8
98,25,3
163,169,8
0,76,3
95,79,3
35,172,17
136,85,17
34,5,8
25,85,16
34,34,11
92,148,12
149,167,9
155,26,4
120,137,10
76,6,18
73,171,20
141,103,2
145,89,7
20,53,17
118,1,15
147,75,11
166,144,8
82,71,12
160,119,16
42,128,3
119,102,1
12,101,13
28,128,10
1,20,6
155,136,8
146,58,17
1,126,10
170,2,9
103,53,4
145,172,14
166,46,19
141,71,20
149,8,14
168,17,12
37,141,14
97,31,3
36,139,9
126,163,5
110,171,1
164,14,3
132,57,1
18,21,19
44,115,8
96,92,9
175,72,1
178,9,15
66,105,5
123,121,8
38,84,11
123,3,9
170,136,1
155,129,17
100,161,16
140,74,11
58,3,14
0,134,9
40,50,12
176,157,10
89,128,8
168,65,8
143,30,6
146,177,2
43,48,1
90,160,1
142,27,2
148,142,6
140,154,7
64,14,11
158,85,2
125,118,17
52,43,2
174,125,17
72,165,6
96,110,8
2,77,5
139,140,4
50,94,11
20,74,9
17,176,1
81,70,20
64,107,1
81,31,2
164,140,17
160,155,12
102,46,4
67,63,2
87,14,9
28,12,8
67,144,18
15,16,19
98,122,5
136,91,15
106,89,18
172,111,18
142,120,14
158,41,4
28,172,4
166,83,1
5,4,9
58,114,5
149,34,17
24,155,1
179,164,17
48,130,6
32,60,9
13,58,2
65,83,9
68,142,9
106,52,17
50,86,18
158,33,2
141,52,18
88,61,12
95,142,13
160,132,6
44,102,4
178,73,19
114,50,3
113,155,5
86,19,7
155,24,15
169,26,12
16,138,9
5,73,12
58,104,11
37,37,17
12,43,11
41,137,18
103,139,20
65,91,19
163,179,18
73,93,13
158,60,6
163,138,12
55,44,19
10,145,11
90,131,14
158,16,16
71,34,13
14,65,13
109,133,17
45,162,1
11,44,7
15,144,13
41,9,13
73,127,7
129,54,19
110,141,15
147,99,18
43,49,4
122,123,10
31,39,3
74,4,10
176,176,15
101,139,17
125,69,12
131,81,10
9,24,8
82,24,3
105,127,16
4,154,19
67,177,15
59,164,12
5,32,15
114,22,17
9,157,14
98,38,14
91,94,2
133,46,3
103,41,6
94,17,20
4,0,6
94,33,18
44,124,9
19,135,4
87,90,18
79,101,9
74,155,7
167,107,16
25,153,14
171,14,13
172,150,14
97,134,18
64,107,11
68,154,5
147,99,1
160,108,19
41,58,8
155,73,18
61,60,15
18,159,15
18,92,1
56,97,12
88,72,1
6,100,2
166,65,2
99,161,5
98,116,19
9,102,19
81,93,4
87,1,12
93,55,8
67,76,4
7,127,5
