source,target,weight
98,33,4
210,101,1
74,52,9
88,166,19
102,156,10
13,110,17
224,138,19
3,122,16
63,13,11
121,65,8
71,90,14
224,129,20
214,175,5
127,141,8
77,76,1
219,147,15
41,21,3
4,33,19
107,141,4
159,17,1
192,116,8
114,66,2
67,106,15
126,21,4
23,100,11
137,206,12
51,117,3
122,94,5
101,92,1
14,196,15
39,115,14
23,154,6
198,116,13
122,134,5
129,184,16
64,20,16
26,91,2
81,135,2
223,124,20
45,84,14
204,56,19
137,40,3
84,218,7
0,219,9
191,134,18
96,11,4
117,116,14
100,129,10
139,36,16
188,220,1
151,208,6
58,173,8
170,85,8
210,186,5
92,184,10
198,42,13
210,18,9
144,198,13
37,224,13
193,75,12
80,73,10
5,36,10
137,136,16
16,134,8
87,133,7
187,34,19
42,179,12
182,125,10
4,14,1
88,180,16
162,190,1
224,200,9
15,3,5
82,123,3
214,69,17
138,150,11
127,135,9
83,187,17
92,203,17
163,195,9
72,188,11
134,140,2
175,108,6
122,207,12
171,35,7
120,87,20
158,179,17
145,5,5
101,34,18
177,46,11
129,35,1
156,95,11
48,133,17
150,103,14
121,16,11
188,79,9
155,94,3
38,16,1
58,74,7
152,170,20
50,42,4
139,32,19
120,189,11
2,74,12
174,50,17
150,107,20
86,131,3
168,6,11
194,84,12
181,186,17
223,64,2
184,74,11
202,155,9
57,176,15
112,110,10
14,2,15
185,34,10
133,187,16
212,88,14
182,22,11
110,41,11
30,132,12
118,220,7
78,187,16
33,119,5
212,97,5
124,210,10
79,109,5
101,195,9
68,185,5
32,172,1
208,43,2
80,90,16
22,27,2
49,65,7
38,221,2
79,72,11
175,0,9
28,71,2
27,200,6
6,79,15
9,153,5
169,58,10
35,183,2
22,3,18
118,151,7
3,187,4
200,146,19
162,132,12
7,9,20
61,213,2
18,224,9
87,108,13
58,154,15
160,66,18
12,195,20
96,135,19
40,211,15
150,34,15
33,82,6
219,53,14
172,103,9
118,186,1
50,163,1
67,218,5
0,159,17
124,19,7
123,151,9
183,119,5
191,106,5
55,138,18
186,209,12
163,84,18
176,184,7
192,15,15
140,208,6
173,204,20
81,153,20
153,158,5
64,60,13
81,102,16
100,150,17
108,13,15
217,64,1
41,206,5
82,61,6
126,65,9
92,210,3
22,61,11
29,210,15
173,205,5
17,31,4
125,205,20
9,117,18
66,196,3
28,182,4
199,179,20
5,41,14
148,50,11
184,162,6
108,200,11
39,141,13
105,8,12
186,140,9
107,15,11
141,166,18
163,159,2
18,221,13
69,84,12
207,49,10
6,163,18
58,142,16
223,217,18
173,127,20
132,223,4
2,27,10
152,54,8
50,209,10
139,60,9
87,155,8
128,67,6
33,71,18
195,114,19
122,212,13
16,173,9
198,124,13
37,169,8
110,129,13
143,138,8
77,137,6
9,48,15
122,107,5
37,140,9
50,195,2
154,36,5
196,213,17
53,115,7
163,42,14
211,187,16
207,32,18
37,191,10
123,79,12
154,145,11
36,133,1
58,203,20
142,167,19
20,162,10
156,183,15
40,125,15
200,219,15
205,113,12
184,155,15
28,34,10
154,65,3
80,123,17
76,133,18
113,168,6
27,90,19
25,73,11
161,181,6
8,198,19
4,69,3
108,223,1
127,211,2
211,117,18
31,158,20
205,158,1
78,37,10
176,40,9
135,180,1
166,198,19
149,32,12
52,5,5
164,24,16
164,168,11
47,53,1
166,96,20
3,127,14
115,170,7
118,187,13
155,193,13
148,197,2
178,204,11
40,130,13
150,47,17
73,191,14
29,103,9
106,183,7
176,12,6
48,133,13
179,86,12
97,9,6
135,116,2
51,63,10
18,14,14
32,207,10
188,109,8
34,45,18
44,28,10
157,220,4
94,124,19
150,133,4
66,13,12
133,111,8
87,156,2
103,103,9
217,212,7
192,157,17
162,92,12
122,157,16
187,161,6
79,188,7
215,139,17
24,47,18
52,166,12
195,79,17
26,72,1
171,33,20
14,56,1
41,189,3
146,18,4
193,127,16
148,24,3
169,99,20
80,88,5
88,74,3
149,92,14
111,126,2
102,9,2
17,203,10
151,40,10
25,8,1
168,80,7
140,192,18
162,172,17
23,202,17
66,122,11
38,203,11
211,86,9
150,155,6
75,89,17
123,72,1
217,137,15
196,92,15
209,106,4
181,24,18
217,87,12
112,68,3
191,26,18
19,125,8
186,209,10
171,69,20
156,60,12
165,8,15
128,182,6
220,78,4
125,48,19
139,185,13
11,30,17
57,147,13
10,56,3
80,212,18
131,33,20
63,220,2
82,155,18
36,202,5
158,216,7
64,167,16
223,223,10
156,183,17
121,184,5
196,176,16
150,0,19
171,98,4
73,102,6
79,146,4
12,2,12
211,166,20
107,151,12
181,17,1
91,121,2
99,210,4
208,142,15
218,44,8
192,114,13
83,111,7
18,169,15
81,71,7
182,104,13
213,199,15
141,170,11
76,11,6
12,9,7
113,91,11
178,119,17
97,87,2
134,146,6
25,151,3
210,144,2
100,111,5
67,160,18
196,178,6
151,143,20
179,151,1
143,197,7
94,133,6
174,183,16
30,88,11
114,166,6
106,8,11
60,69,19
115,116,4
216,36,6
171,203,13
50,146,19
177,174,13
118,180,17
111,148,15
16,223,16
49,178,2
162,2,6
47,188,16
220,156,10
126,135,9
91,77,12
172,147,3
123,136,1
101,88,7
178,167,11
221,170,1
125,222,10
1,147,17
34,117,20
30,123,4
193,2,18
208,105,1
84,111,3
25,60,6
190,158,8
222,82,5
39,158,1
125,119,2
31,67,12
175,55,2
202,193,16
215,207,13
177,126,18
80,56,1
103,128,19
111,55,5
