source,target,weight
6,49,20
70,179,8
41,171,1
57,59,15
163,104,11
3,167,12
127,132,17
56,188,2
103,38,5
93,147,19
41,40,9
4,52,3
114,157,2
68,176,3
97,102,14
57,107,17
82,162,6
72,157,7
135,9,13
166,122,19
107,130,3
67,37,7
120,131,3
148,66,14
144,59,19
7,29,19
43,8,16
62,101,7
158,11,7
189,111,4
33,33,1
95,159,7
109,17,20
167,119,17
109,8,15
120,178,10
180,129,7
99,151,6
183,158,8
129,56,10
173,41,1
81,164,16
53,140,3
168,179,4
125,18,6
52,189,1
5,114,4
142,160,9
65,97,7
91,149,11
37,142,15
58,0,10
140,1,5
170,113,15
133,115,18
94,91,5
50,120,14
1,167,5
82,149,6
185,159,3
127,10,13
175,141,10
101,116,19
187,93,4
42,32,15
63,141,15
27,116,11
183,154,8
8,49,13
129,64,17
1,112,15
26,140,15
5,4,3
112,37,15
62,25,10
52,60,15
44,148,16
130,125,19
52,78,2
171,99,13
75,96,4
26,75,4
7,120,7
124,127,15
18,160,12
23,54,4
160,109,19
162,35,8
130,71,8
83,179,1
27,53,18
105,140,4
45,6,1
93,188,5
77,79,1
169,163,1
69,168,12
158,163,14
29,140,14
155,48,7
134,58,19
185,92,3
164,50,2
183,165,5
173,143,20
119,0,3
121,107,12
5,116,3
111,47,2
110,120,12
111,164,14
135,155,3
89,133,10
143,102,16
24,134,7
19,41,14
59,16,20
32,111,2
99,183,7
135,106,12
22,145,20
169,182,7
72,188,13
78,165,15
56,186,7
62,138,15
9,167,10
44,54,13
5,179,9
42,139,3
163,175,19
7,13,18
179,189,10
9,92,9
18,160,20
61,187,15
88,28,15
40,189,1
30,82,1
59,154,19
156,142,8
62,107,16
150,119,5
56,3,18
64,7,6
145,93,5
72,39,16
72,77,7
75,161,9
114,61,13
5,188,17
140,129,5
150,168,6
15,134,20
22,47,14
57,116,12
77,91,11
113,26,10
35,50,10
118,42,8
16,163,2
147,30,6
86,186,7
146,175,10
189,63,8
86,115,10
170,123,8
81,157,8
84,182,20
112,140,1
160,71,1
67,112,11
170,33,13
2,47,17
89,66,18
42,31,17
91,133,6
142,187,4
45,132,16
62,136,8
57,107,9
143,52,13
103,10,6
84,133,12
125,31,5
27,41,11
61,188,19
100,23,12
3,35,9
12,141,11
155,121,13
106,59,6
43,173,9
30,73,1
81,57,10
86,70,16
125,184,15
14,158,19
98,23,13
21,164,5
140,132,10
76,136,10
188,89,7
57,135,5
77,31,10
12,152,12
75,65,9
155,134,12
15,46,4
148,0,10
42,188,13
17,85,6
79,137,7
76,98,2
7,12,15
116,154,6
1,48,1
176,106,2
30,71,8
0,14,1
110,155,6
164,131,4
105,180,14
50,114,7
159,161,8
129,88,15
100,23,16
98,22,5
100,18,17
24,5,2
71,173,14
98,154,9
110,176,11
145,48,17
54,28,11
93,103,4
179,146,7
58,176,17
55,65,18
115,39,12
86,111,3
148,125,4
119,127,10
58,4,8
139,137,13
115,148,19
113,8,1
150,76,4
187,180,15
73,43,3
116,27,18
88,126,8
52,186,7
67,159,3
46,115,12
178,71,20
80,36,2
141,56,18
104,5,14
69,109,3
31,70,11
87,72,7
112,49,12
43,165,13
47,69,19
48,108,8
176,26,13
40,97,17
19,109,5
28,171,12
143,42,20
88,183,9
181,162,9
10,47,19
100,186,16
68,66,13
169,138,14
120,28,17
24,78,8
160,35,11
114,33,2
48,114,13
33,157,20
185,184,2
177,181,20
151,98,8
6,111,11
102,161,19
147,173,16
105,84,4
103,14,4
12,125,14
17,54,8
126,69,7
106,141,7
96,165,8
37,82,10
139,109,9
45,67,20
173,180,18
138,47,16
36,178,19
25,64,20
71,154,4
74,34,3
166,8,12
107,4,10
59,75,19
15,113,2
167,124,19
64,98,16
67,173,20
170,182,1
6,171,18
189,104,15
156,129,19
143,121,16
136,48,8
187,100,11
102,187,20
78,133,12
1,95,18
43,167,5
131,59,16
28,70,10
62,24,7
72,25,2
113,143,18
61,47,16
54,146,20
25,170,10
110,26,13
110,48,4
29,90,1
83,8,2
173,107,4
94,178,19
137,107,4
37,51,5
88,110,13
76,3,3
114,138,8
70,93,17
35,147,20
111,137,2
121,164,8
81,134,11
150,186,19
21,62,4
163,153,3
60,163,5
80,39,18
115,51,8
186,94,5
88,147,20
75,107,7
14,28,8
23,19,17
69,189,18
118,117,7
79,158,9
39,101,18
184,66,15
177,138,10
162,176,10
106,28,19
175,75,20
161,175,7
177,11,10
93,154,17
9,109,20
73,96,20
149,74,19
34,125,9
164,149,11
173,120,15
133,75,2
187,174,10
12,187,15
41,5,12
69,163,20
69,166,3
65,81,18
25,22,9
137,16,20
117,68,20
28,81,13
8,92,17
80,36,13
51,87,2
61,131,12
39,40,17
49,83,5
42,174,9
62,75,9
117,51,9
68,55,13
151,108,5
182,166,8
13,88,20
36,109,4
186,23,6
29,49,11
2,46,8
75,161,17
128,81,9
102,119,11
21,72,2
180,59,10
173,91,7
