id,x,y
0,242,257
1,107,180
2,391,354
3,228,460
4,261,176
5,447,132
6,244,10
7,437,341
8,232,185
9,478,21
10,257,168
11,288,321
12,90,154
13,211,1
14,464,408
15,341,481
16,357,265
17,498,65
18,212,111
19,397,331
20,111,220
21,96,75
22,262,272
23,294,354
24,53,35
25,371,101
26,477,294
27,204,141
28,20,413
29,490,131
30,356,230
31,308,158
32,459,419
33,361,69
34,154,222
35,171,284
36,101,187
37,494,77
38,340,205
39,348,15
40,363,183
41,455,253
42,97,445
43,89,103
44,419,330
45,438,20
46,79,485
47,240,109
48,260,440
49,138,462
50,89,135
51,261,143
52,463,163
53,232,391
54,95,465
55,398,158
56,106,235
57,416,248
58,68,10
59,94,89
60,184,254
61,184,143
62,268,449
63,104,353
64,171,212
65,178,133
66,95,453
67,468,199
68,423,215
69,430,30
70,97,425
71,123,380
72,99,124
73,305,466
74,383,233
75,146,1
76,275,425
77,435,492
78,393,350
79,66,169
80,462,210
81,181,390
82,500,94
83,187,19
84,250,291
85,264,407
86,153,218
87,323,23
88,283,151
89,347,250
90,473,85
91,378,135
92,350,70
93,425,347
94,358,447
95,286,34
96,197,189
97,222,192
98,78,380
99,108,286
100,123,196
101,415,381
102,176,420
103,280,337
104,146,122
105,57,362
106,457,1
107,190,243
108,275,101
109,273,56
110,51,442
111,478,216
112,252,446
113,296,130
114,197,53
115,251,295
116,318,108
117,219,316
118,169,442
119,375,6
120,103,429
121,68,53
122,12,381
123,162,420
124,163,318
125,139,124
126,282,188
127,192,345
128,20,265
129,115,404
130,180,347
131,313,143
132,64,469
133,486,47
134,342,84
135,29,48
136,110,279
137,451,324
138,119,235
139,164,304
140,467,201
141,272,429
142,197,243
143,156,358
144,145,219
145,215,323
146,182,296
147,165,422
148,37,197
149,7,368
150,379,212
151,335,257
152,327,441
153,276,38
154,166,143
155,159,70
156,488,414
157,249,172
158,313,150
159,431,309
160,486,245
161,303,150
162,429,334
163,383,126
164,199,339
165,368,439
166,488,205
167,406,291
168,483,74
169,279,55
170,322,320
171,224,212
172,190,127
173,211,131
174,9,85
175,169,143
176,246,270
177,369,320
178,467,143
179,113,170
180,336,107
181,110,352
182,205,54
183,168,67
184,88,358
185,398,72
186,356,471
187,199,357
188,268,257
189,215,66
190,4,13
191,352,139
192,146,398
193,2,43
194,287,482
195,56,60
196,146,127
197,309,349
198,160,228
199,14,290
200,290,70
201,41,411
202,480,495
203,102,201
204,324,208
205,451,232
206,378,469
207,422,169
208,421,500
209,134,152
210,196,495
211,194,156
212,167,331
213,321,198
214,288,272
215,327,30
216,260,267
217,425,413
218,333,344
219,408,453
220,281,208
221,200,150
222,348,38
223,352,73
224,27,303
