source,target,weight
69,51,18
85,1,13
12,3,19
165,158,2
133,10,8
130,69,9
47,46,15
33,16,18
106,114,4
61,166,11
114,49,7
82,97,14
116,156,8
137,164,8
131,116,12
81,133,13
133,159,4
107,133,3
136,103,12
138,156,4
147,67,17
94,48,4
74,152,19
18,156,8
51,120,16
6,32,3
5,130,20
140,159,6
18,34,6
172,119,17
16,114,4
171,17,17
74,112,9
159,163,18
63,112,14
172,94,4
111,17,15
10,153,6
64,160,12
154,13,14
93,128,12
2,64,8
126,22,19
171,155,16
99,125,11
173,33,19
28,33,2
161,54,17
56,166,16
170,97,10
13,29,1
44,137,10
49,44,19
112,81,8
167,62,9
38,47,20
63,37,2
35,147,4
84,36,14
71,15,18
127,84,4
72,30,19
139,106,3
7,59,16
66,115,19
26,44,14
138,5,5
136,77,14
27,63,18
91,110,6
83,18,13
94,25,12
144,25,13
38,119,13
29,41,4
89,115,20
47,174,16
64,129,15
157,2,1
35,21,8
86,168,17
91,86,8
134,44,18
112,99,14
100,163,18
61,168,20
61,137,5
133,72,10
67,78,1
30,129,1
71,67,11
166,83,19
48,126,18
27,15,19
114,133,4
122,26,13
78,149,6
93,78,20
34,33,20
119,82,17
148,15,9
36,173,15
71,24,11
0,63,20
150,100,3
142,84,20
78,146,6
40,48,9
155,37,18
63,91,13
74,124,7
134,98,9
171,79,14
24,124,2
141,101,10
121,9,3
172,112,1
45,57,16
103,57,5
85,174,4
141,163,15
116,97,6
27,87,1
112,27,4
123,149,13
161,112,1
48,50,17
166,135,19
23,102,13
81,168,15
113,35,11
108,172,12
83,32,1
41,147,5
12,73,17
29,103,10
155,164,5
97,86,12
76,38,11
136,167,5
123,8,3
17,67,1
3,2,16
100,65,1
15,158,19
162,59,14
40,149,10
156,48,14
120,62,13
138,173,18
153,2,17
142,29,16
92,120,12
83,36,1
43,32,12
107,123,5
98,15,16
102,77,12
66,139,11
7,67,8
8,21,6
104,57,19
36,120,19
92,168,4
15,85,15
151,23,2
87,11,17
11,35,1
163,4,3
150,161,8
155,162,1
49,46,7
63,126,3
69,44,8
89,116,18
26,37,4
93,154,20
58,27,10
61,21,5
55,146,15
109,30,15
74,32,4
82,30,17
67,159,17
154,15,6
95,145,3
164,51,14
150,21,4
167,83,13
35,12,19
148,32,10
127,20,4
164,143,12
121,50,4
28,84,17
121,121,3
59,36,4
1,112,16
16,171,11
2,90,14
172,5,1
106,79,14
43,90,12
114,35,11
174,141,18
138,135,7
80,103,11
85,98,8
165,55,6
86,50,15
64,24,5
40,46,8
40,112,8
88,66,16
82,14,9
147,25,13
97,18,9
68,59,3
135,54,15
124,157,15
143,32,7
37,132,16
104,43,16
13,148,13
5,55,9
139,20,13
48,173,8
47,136,13
154,54,12
4,29,2
113,102,14
9,81,4
152,161,10
165,41,7
155,122,16
159,104,20
141,4,7
102,52,2
14,8,15
146,154,13
26,16,7
23,163,1
100,116,4
123,72,4
75,92,5
2,128,18
172,103,1
130,157,18
35,84,20
24,151,8
37,75,4
3,96,1
122,3,10
116,169,8
83,73,2
93,107,2
26,130,2
168,174,7
139,158,7
122,146,1
110,46,15
147,114,5
79,37,13
139,84,5
35,33,4
75,35,16
70,167,8
126,110,1
169,132,16
174,121,3
83,103,17
67,80,19
70,105,16
22,147,12
10,37,8
118,82,20
79,173,20
126,159,7
138,71,18
101,57,11
73,107,10
157,84,14
160,59,6
124,43,9
52,103,1
171,11,9
130,28,12
93,56,2
116,119,10
17,24,16
116,46,13
99,167,13
152,146,4
154,137,8
42,94,12
26,151,5
160,66,7
61,55,16
87,77,1
146,119,12
6,139,14
116,71,16
9,105,18
42,50,13
18,157,1
38,139,10
15,76,8
157,110,2
47,145,9
133,82,12
61,10,16
142,155,9
171,133,7
93,146,7
47,134,10
138,88,7
129,119,9
9,81,20
171,43,9
36,155,6
94,133,4
48,11,1
62,166,10
158,69,19
27,28,10
156,7,2
52,120,4
173,55,16
156,44,17
65,51,15
144,33,20
70,6,10
119,102,5
146,58,15
168,32,1
56,157,20
98,134,2
79,75,2
84,80,20
8,109,7
141,7,10
89,86,11
103,145,13
137,51,7
135,100,19
112,53,14
100,33,10
115,160,3
76,123,1
76,102,19
140,129,13
105,168,2
126,2,18
108,88,15
39,49,20
156,136,14
93,13,2
134,72,19
104,61,7
137,20,13
132,153,5
6,9,15
113,47,15
87,102,4
68,87,14
52,131,2
16,106,3
130,83,12
157,98,8
76,172,15
103,118,11
2,147,11
39,25,3
70,61,9
171,32,2
106,34,7
99,164,15
50,123,9
7,3,4
104,27,20
120,142,13
112,44,5
32,115,20
42,76,17
158,140,8
120,161,7
73,12,8
140,92,5
15,51,17
122,79,16
102,70,18
142,116,11
70,25,6
141,126,7
49,153,13
78,20,11
57,26,2
76,110,12
134,49,4
121,78,10
115,163,9
86,147,5
173,141,20
84,143,13
158,121,6
107,47,9
69,65,17
92,174,10
19,99,16
1,157,7
21,137,16
31,53,4
24,29,2
101,121,1
46,96,11
146,17,9
118,50,16
14,58,19
55,34,20
72,70,14
145,94,5
94,8,16
11,21,16
44,128,17
110,73,20
98,12,20
125,171,18
19,104,14
101,121,11
139,2,4
