id,x,y
0,225,307
1,58,31
2,239,458
3,337,127
4,169,451
5,435,4
6,357,39
7,164,153
8,272,417
9,479,408
10,376,134
11,166,471
12,499,419
13,155,36
14,116,84
15,410,464
16,228,279
17,401,402
18,116,214
19,307,254
20,237,106
21,84,10
22,124,314
23,84,27
24,56,478
25,239,208
26,346,53
27,442,450
28,315,386
29,215,42
30,315,138
31,297,195
32,251,194
33,78,22
34,439,332
35,471,322
36,143,63
37,372,19
38,12,441
39,483,484
40,362,427
41,437,183
42,363,182
43,106,222
44,39,69
45,125,126
46,199,345
47,119,233
48,84,52
49,334,417
50,146,480
51,9,216
52,293,56
53,215,415
54,380,200
55,448,123
56,305,423
57,269,228
58,178,221
59,91,221
60,256,487
61,168,391
62,189,474
63,199,2
64,419,218
65,196,312
66,73,109
67,189,331
68,456,310
69,366,236
70,136,298
71,75,54
72,190,394
73,127,380
74,475,147
75,287,331
76,270,164
77,320,125
78,306,36
79,59,348
80,390,158
81,247,174
82,205,429
83,412,370
84,169,46
85,443,274
86,152,406
87,111,315
88,47,197
89,483,160
90,75,12
91,281,424
92,204,484
93,10,140
94,287,251
95,195,327
96,103,457
97,103,226
98,451,251
99,183,433
100,165,24
101,331,293
102,289,258
103,242,322
104,473,498
105,399,58
106,152,367
107,402,4
108,270,244
109,475,277
110,51,159
111,54,456
112,224,268
113,490,433
114,33,384
115,288,258
116,438,466
117,354,198
118,85,347
119,301,135
120,116,479
121,173,187
122,147,328
123,62,69
124,140,394
125,485,70
126,448,264
127,85,342
128,75,240
129,284,484
130,22,98
131,285,406
132,151,421
133,150,186
134,415,349
135,171,251
136,105,390
137,434,138
138,119,287
139,255,90
140,177,349
141,350,82
142,418,41
143,169,368
144,58,108
145,347,153
146,8,413
147,10,81
148,455,466
149,8,277
150,153,327
151,425,279
152,296,30
153,73,61
154,320,29
155,56,334
156,55,441
157,234,293
158,422,186
159,199,135
160,419,23
161,428,235
162,143,427
163,100,371
164,306,431
165,107,74
166,136,93
167,55,253
168,319,253
169,55,319
170,14,64
171,11,438
172,399,48
173,110,494
174,196,147
175,56,456
176,165,155
177,25,458
178,440,111
179,408,64
