id,x,y
0,257,41
1,93,20
2,341,488
3,386,434
4,336,46
5,337,295
6,451,239
7,210,259
8,186,230
9,309,262
10,456,27
11,163,252
12,378,45
13,154,138
14,486,29
15,461,65
16,483,338
17,291,7
18,335,432
19,183,289
20,260,468
21,448,347
22,84,349
23,322,232
24,211,67
25,314,390
26,365,278
27,12,139
28,269,196
29,157,316
30,8,332
31,264,462
32,71,25
33,304,142
34,330,85
35,332,172
36,278,40
37,407,259
38,364,390
39,354,249
40,264,57
41,207,249
42,446,187
43,485,44
44,310,188
45,495,165
46,132,147
47,190,347
48,68,326
49,111,475
50,26,122
51,173,191
52,123,119
53,344,123
54,18,253
55,332,172
56,485,85
57,19,25
58,320,438
59,315,82
60,93,399
61,385,342
62,154,488
63,399,397
64,15,333
65,180,41
66,345,52
67,459,224
68,145,493
69,318,453
70,59,499
71,465,36
72,76,37
73,421,155
74,419,173
75,164,61
76,444,162
77,470,221
78,460,386
79,123,457
80,279,498
81,231,150
82,246,484
83,213,412
84,222,392
85,328,254
86,360,17
87,330,355
88,459,429
89,93,467
90,74,68
91,246,203
92,103,40
93,305,294
94,117,121
95,500,490
96,299,99
97,488,159
98,444,447
99,345,314
100,482,286
101,262,6
102,460,360
103,277,51
104,387,99
105,219,483
106,208,388
107,320,305
108,93,451
109,340,80
110,109,318
111,27,369
112,477,70
113,206,369
114,111,437
115,134,318
116,330,189
117,169,244
118,24,17
119,334,453
120,73,337
121,329,279
122,191,491
123,206,155
124,39,3
125,108,312
126,460,47
127,449,26
128,93,3
129,291,265
130,457,199
131,104,90
132,151,356
133,1,406
134,374,81
135,370,74
136,190,473
137,265,249
138,137,266
139,180,217
140,398,185
141,93,289
142,43,231
143,411,368
144,326,395
145,214,266
146,467,175
147,72,207
148,97,273
149,428,53
150,143,76
151,32,222
152,271,366
153,499,482
154,372,216
155,45,74
156,160,500
157,213,448
158,230,458
159,207,222
160,279,122
161,54,364
162,177,161
163,77,440
164,214,301
165,77,142
166,180,491
167,86,433
168,179,473
169,486,145
170,340,171
171,287,468
172,138,296
173,108,164
174,376,107
175,130,439
176,76,164
177,290,476
178,89,340
179,217,85
180,439,165
181,223,235
182,41,64
183,400,355
184,169,148
185,12,269
186,273,243
187,57,311
188,215,210
189,25,432
190,490,68
191,363,457
192,40,89
193,172,216
194,68,304
195,499,133
196,197,180
197,330,44
198,406,66
199,340,57
